fighter_id,name,birthdate,aka,associations,class_weight,wins,losses,draws,wins_by_ko_tko,wins_by_submission,wins_by_decision,wins_by_other,losses_by_ko_tko,losses_by_submission,losses_by_decision,losses_by_other,country,city,weight (lbs),sex,height,height (cm)
768cf56e9c284cfaa0a7f46530e0767e,Rashad Evans,1979-09-25,Suga,['Kill Cliff FC'],Light Heavyweight,20.0,8.0,0.0,8.0,1.0,11.0,0.0,3.0,0.0,5.0,0.0,United States,"Niagara Falls, New York",205.0,M,5.11,155.75
5d6ecaa97ab64d378ce9cd59111379d5,Michael Bisping,1979-02-28,The Count,['HB Ultimate'],Middleweight,30.0,9.0,0.0,18.0,2.0,10.0,0.0,3.0,2.0,4.0,0.0,England,Manchester,185.0,M,6.2,188.98
9a36c312a6d740248c1776459e0fd28f,Thiago Silva,1982-11-12,,['Kill Cliff FC'],Heavyweight,21.0,9.0,3.0,15.0,1.0,5.0,0.0,4.0,1.0,4.0,0.0,Brazil,"Sao Carlos, Sao Paulo",223.0,M,6.1,185.93
7cdd5e30236c4b78ae11572fbe4f23fe,Houston Alexander,1972-03-22,The Assassin,"['Grudge Training Center', 'HIT Squad']",Light Heavyweight,17.0,16.0,2.0,14.0,0.0,3.0,0.0,10.0,2.0,4.0,0.0,United States,"Omaha, Nebraska",203.0,M,6.0,182.88
8079e849d32248838db2565bd5bfcb08,Karo Parisyan,1982-08-28,The Heat,[],Welterweight,24.0,12.0,1.0,3.0,11.0,10.0,0.0,7.0,1.0,4.0,0.0,United States,"North Hollywood, California",169.0,M,5.1,155.45
09634dcacfdd40169fbec369433f2687,Ryo Chonan,1976-10-08,Piranha,['Tribe Tokyo MMA'],Welterweight,22.0,13.0,0.0,8.0,1.0,13.0,0.0,4.0,1.0,8.0,0.0,Japan,"Tsuruoka, Yamagata",169.0,M,5.9,179.83
e1ef99681442412bb2d8634d91da1864,Ed Herman,1980-10-02,Short Fuse,['American Top Team Portland'],Light Heavyweight,26.0,16.0,1.0,7.0,14.0,5.0,0.0,4.0,6.0,6.0,0.0,United States,"Portland, Oregon",205.0,M,6.2,188.98
ec1de4e2f0d74362b97f1f9075831d51,Joe Doerksen,1977-10-09,El Dirte,['Canadian Fighting Centre'],Middleweight,51.0,16.0,0.0,10.0,33.0,8.0,0.0,7.0,4.0,5.0,0.0,Canada,"Winnipeg, Manitoba",186.0,M,6.0,182.88
cb39972a59f945b58820f8dfbe7986ce,Frankie Edgar,1981-10-16,The Answer,['Ricardo Almeida Jiu-Jitsu'],Bantamweight,24.0,11.0,0.0,7.0,4.0,13.0,0.0,5.0,0.0,6.0,0.0,United States,"Toms River, New Jersey",136.0,M,5.6,170.69
53fd79b643c24a33b517af9130ad5f22,Spencer Fisher,1976-05-09,The King,[],Lightweight,24.0,9.0,0.0,10.0,9.0,5.0,0.0,3.0,0.0,6.0,0.0,United States,"Davenport, Iowa",155.0,M,5.7,173.74
ed8c81d0c4d14a34b94853ef7aec19db,Thiago Alves,1983-10-03,Pitbull,['American Top Team'],Welterweight,23.0,15.0,0.0,13.0,1.0,9.0,0.0,3.0,5.0,7.0,0.0,Brazil,"Fortaleza, Ceara",170.0,M,5.1,155.45
2a937854dfb14fa1967dcf3dc3157566,Chris Lytle,1974-08-18,Lights Out,['Integrated Fighting Academy'],Welterweight,31.0,18.0,0.0,6.0,19.0,6.0,0.0,2.0,0.0,16.0,0.0,United States,"Indianapolis, Indiana",170.0,M,5.11,155.75
0a7ea84448894ca18f55f90e54d5bd5a,Joe Lauzon,1984-05-22,J-Lau,['Lauzon MMA'],Lightweight,28.0,15.0,0.0,9.0,17.0,2.0,0.0,6.0,3.0,6.0,0.0,United States,"Bridgewater, Massachusetts",155.0,M,5.1,155.45
5cb888f127ea4d7aadc8f50d47f81c9e,Jason Reinhardt,1969-10-31,,['Wand Fight Team'],Bantamweight,20.0,3.0,0.0,4.0,16.0,0.0,0.0,1.0,2.0,0.0,0.0,United States,"Decatur, Illinois",135.0,M,5.6,170.69
b00061b54c3a4cde8d1b70ea1a3ae07e,Marcus Aurelio,1973-08-18,Maximus,['Elite Mixed Fighters'],Welterweight,22.0,10.0,0.0,5.0,14.0,3.0,0.0,0.0,0.0,10.0,0.0,Brazil,"Fortaleza, Ceara",170.0,M,5.1,155.45
6dc932f2350f4739b2393d022abd1dd8,Luke Caudillo,1980-11-30,Lil' Hulk,['Grudge Training Center'],Lightweight,17.0,17.0,0.0,12.0,1.0,4.0,0.0,3.0,10.0,4.0,0.0,United States,"North Platte, Nebraska",155.0,M,5.7,173.74
2c7061354c844686a92c4ae14cea6680,Akihiro Gono,1974-10-07,,['Grabaka'],Welterweight,37.0,24.0,0.0,7.0,9.0,20.0,1.0,8.0,4.0,12.0,0.0,Japan,"Higashikurume, Tokyo",161.0,M,5.9,179.83
cc69317ff8224be98c3a6b105e50e5fe,Tamdan McCrory,1986-11-05,The Barn Cat,['CNY MMA'],Middleweight,14.0,5.0,0.0,8.0,5.0,1.0,0.0,2.0,2.0,1.0,0.0,United States,"Binghamton, New York",185.0,M,6.4,195.07
550b4866e0a8475aa1c8247650944a15,Anderson Silva,1975-04-14,The Spider,"['Team Nogueira', 'X-Gym', 'Killer Bees']",Middleweight,34.0,11.0,1.0,23.0,3.0,8.0,0.0,4.0,2.0,4.0,1.0,Brazil,"Curitiba, Parana",185.0,M,6.2,188.98
960d0c6884074445b75b6241efb62e4b,Rich Franklin,1974-10-05,Ace,['Team Extreme'],Middleweight,29.0,7.0,1.0,20.0,5.0,4.0,0.0,5.0,0.0,2.0,0.0,United States,"Cincinnati, Ohio",185.0,M,6.1,185.93
d270d7633a4b4ed9bee03f05a3c90134,Tim Sylvia,1974-03-05,The Maine-iac,"['Team Extreme', 'Champions Gym']",Heavyweight,31.0,10.0,1.0,22.0,2.0,7.0,0.0,3.0,4.0,3.0,0.0,United States,"Bettendorf, Iowa",265.0,M,6.8,207.26
897f32ad9dd642d2b83038edc64bc94c,Brandon Vera,1977-10-10,The Truth,['Alliance MMA'],Heavyweight,16.0,10.0,1.0,11.0,1.0,4.0,0.0,7.0,0.0,3.0,0.0,United States,"San Diego, California",246.0,M,6.2,188.98
720914548b6d49b9b77f0dac8b75c82a,Alvin Robinson,1982-07-16,Kid,['Grudge Training Center'],Featherweight,15.0,9.0,0.0,0.0,14.0,1.0,0.0,5.0,4.0,0.0,0.0,United States,"Denver, Colorado",145.0,M,5.9,179.83
c08d7ad8b18f48caa39f99c14f8077dd,Jorge Gurgel,1977-01-25,J.G.,['Team Jorge Gurgel'],Lightweight,14.0,10.0,0.0,0.0,10.0,4.0,0.0,2.0,2.0,6.0,0.0,United States,"Cincinnati, Ohio",154.0,M,5.9,179.83
