fight_id,event_id,left_fighter_id,left_fighter_name,right_fighter_id,right_fighter_name,winner,winner_name,is_main_event,match,round,time,method,weight_class,referee_id,referee_name
ff30619cab2b4c809de59949b39d7ad9,43d4e8c9cf2e4a388b03a01b19eb56c8,768cf56e9c284cfaa0a7f46530e0767e,Rashad Evans,5d6ecaa97ab64d378ce9cd59111379d5,Michael Bisping,L,Rashad Evans,True,9,3,00:5:00,Decision (Split),,ab41432a837f4d84b34487904c9a74d2,Dan Miragliotta
a17857e5b5a449d2b15c8c9b6c84daf6,43d4e8c9cf2e4a388b03a01b19eb56c8,9a36c312a6d740248c1776459e0fd28f,Thiago Silva,7cdd5e30236c4b78ae11572fbe4f23fe,Houston Alexander,L,Thiago Silva,False,8,1,00:3:25,TKO (Punches),,ab41432a837f4d84b34487904c9a74d2,Dan Miragliotta
3a2342bd50b244689e82a34ba2e9a19e,43d4e8c9cf2e4a388b03a01b19eb56c8,8079e849d32248838db2565bd5bfcb08,Karo Parisyan,09634dcacfdd40169fbec369433f2687,Ryo Chonan,L,Karo Parisyan,False,7,3,00:5:00,Decision (Unanimous),,ab41432a837f4d84b34487904c9a74d2,Dan Miragliotta
25065be1a30d4ea6a055d8f50d2ffcdd,43d4e8c9cf2e4a388b03a01b19eb56c8,e1ef99681442412bb2d8634d91da1864,Ed Herman,ec1de4e2f0d74362b97f1f9075831d51,Joe Doerksen,L,Ed Herman,False,6,3,00:0:39,KO (Punch),,ab41432a837f4d84b34487904c9a74d2,Dan Miragliotta
8548b801072d42089bab9847b7dc4005,43d4e8c9cf2e4a388b03a01b19eb56c8,cb39972a59f945b58820f8dfbe7986ce,Frankie Edgar,53fd79b643c24a33b517af9130ad5f22,Spencer Fisher,L,Frankie Edgar,False,5,3,00:5:00,Decision (Unanimous),,ab41432a837f4d84b34487904c9a74d2,Dan Miragliotta
c8c07deecacd4be9b803aedb3caee636,43d4e8c9cf2e4a388b03a01b19eb56c8,ed8c81d0c4d14a34b94853ef7aec19db,Thiago Alves,2a937854dfb14fa1967dcf3dc3157566,Chris Lytle,L,Thiago Alves,False,4,2,00:5:00,TKO (Doctor Stoppage),,ab41432a837f4d84b34487904c9a74d2,Dan Miragliotta
0bf9a143faeb449e8d80ceb23f3cf1aa,43d4e8c9cf2e4a388b03a01b19eb56c8,0a7ea84448894ca18f55f90e54d5bd5a,Joe Lauzon,5cb888f127ea4d7aadc8f50d47f81c9e,Jason Reinhardt,L,Joe Lauzon,False,3,1,00:1:14,Submission (Rear-Naked Choke),,ab41432a837f4d84b34487904c9a74d2,Dan Miragliotta
c74e5750a5004b74a1fffae7bcedae19,43d4e8c9cf2e4a388b03a01b19eb56c8,b00061b54c3a4cde8d1b70ea1a3ae07e,Marcus Aurelio,6dc932f2350f4739b2393d022abd1dd8,Luke Caudillo,L,Marcus Aurelio,False,2,1,00:4:29,TKO (Punches),,ab41432a837f4d84b34487904c9a74d2,Dan Miragliotta
7bebb5c03e71496fab153f68968ad196,43d4e8c9cf2e4a388b03a01b19eb56c8,2c7061354c844686a92c4ae14cea6680,Akihiro Gono,cc69317ff8224be98c3a6b105e50e5fe,Tamdan McCrory,L,Akihiro Gono,False,1,2,00:3:19,Submission (Armbar),,ab41432a837f4d84b34487904c9a74d2,Dan Miragliotta
7effabfcba1f4b2bb278fbb028ad5927,0938b55ad1d34848b4e36a473ae095c2,550b4866e0a8475aa1c8247650944a15,Anderson Silva,960d0c6884074445b75b6241efb62e4b,Rich Franklin,L,Anderson Silva,True,9,2,00:1:07,TKO (Knees),Middleweight,2d1bcaf9a15a4fa78da9ef8b264189cc,John McCarthy
b701d3adcb6144e38dd88e3ac944507c,0938b55ad1d34848b4e36a473ae095c2,d270d7633a4b4ed9bee03f05a3c90134,Tim Sylvia,897f32ad9dd642d2b83038edc64bc94c,Brandon Vera,L,Tim Sylvia,False,8,3,00:5:00,Decision (Unanimous),,2d1bcaf9a15a4fa78da9ef8b264189cc,John McCarthy
61b39ad5593848bfafe96cd8eeff3967,0938b55ad1d34848b4e36a473ae095c2,720914548b6d49b9b77f0dac8b75c82a,Alvin Robinson,c08d7ad8b18f48caa39f99c14f8077dd,Jorge Gurgel,L,Alvin Robinson,False,7,3,00:5:00,Decision (Unanimous),,2d1bcaf9a15a4fa78da9ef8b264189cc,John McCarthy
6abc89714e434634879bfa48a9d43ff4,0938b55ad1d34848b4e36a473ae095c2,bdcd1d529d054318a6ce9e76689dd7b9,Stephan Bonnar,93700d6d69c34cbbba6a9fce9acd0ef5,Eric Schafer,L,Stephan Bonnar,False,6,2,00:2:47,TKO (Punches),,2d1bcaf9a15a4fa78da9ef8b264189cc,John McCarthy
ab2876d261aa42d8a149407718786330,0938b55ad1d34848b4e36a473ae095c2,63f343689831466ca4a59f5911943d2c,Alan Belcher,84305410742c4563b094b697a248da50,Kalib Starnes,L,Alan Belcher,False,5,2,00:1:39,TKO (Doctor Stoppage),,2d1bcaf9a15a4fa78da9ef8b264189cc,John McCarthy
9a844b8d282b43d8bee7b1662404b716,0938b55ad1d34848b4e36a473ae095c2,a6135688bd4e40ac92ba7b75ecbb607d,Yushin Okami,8ce4a5b92e554e0da625d643f1639cff,Jason MacDonald,L,Yushin Okami,False,4,3,00:5:00,Decision (Unanimous),,2d1bcaf9a15a4fa78da9ef8b264189cc,John McCarthy
088483208eda44a38e55c38f05fb7c66,0938b55ad1d34848b4e36a473ae095c2,6ebf3bdbb557438db06dd53599a1c4f7,Demian Maia,e5cbcb485a814ed1bb8f9f30bbe805f5,Ryan Jensen,L,Demian Maia,False,3,1,00:2:40,Submission (Rear-Naked Choke),,2d1bcaf9a15a4fa78da9ef8b264189cc,John McCarthy
1eda2d0da11d4d94bfffd32f9065fdc0,0938b55ad1d34848b4e36a473ae095c2,01637d63b3db4282b0adee1f87f5e021,Joshua Burkman,79004c4eb6cf4a81a0aa725a1094ac87,Forrest Petz,L,Joshua Burkman,False,2,3,00:5:00,Decision (Split),,2d1bcaf9a15a4fa78da9ef8b264189cc,John McCarthy
0088499f36b9494ea79f1ab0d881e392,0938b55ad1d34848b4e36a473ae095c2,044b505421f44180bcda4f70d8993d6e,Matt Grice,4d102597b05440d9988e08d281533dab,Jason Black,L,Matt Grice,False,1,3,00:5:00,Decision (Split),,2d1bcaf9a15a4fa78da9ef8b264189cc,John McCarthy
